#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 11 25 12 42 200  1.0  1.5    MM    MM    MM  MM 1018.1    MM  13.0    MM   MM   MM    MM
2019 11 25 12 30 180  1.0  1.0    MM    MM    MM  MM 1018.0  10.4  13.0    MM   MM   MM    MM
2019 11 25 11 24 230  2.1  3.6    MM    MM    MM  MM 1017.5  10.8  13.1    MM   MM   MM    MM
2019 11 25 11 12 150  0.5  1.5    MM    MM    MM  MM 1017.6  10.7  13.1    MM   MM   MM    MM
2019 11 25 11 00 170  1.0  1.0    MM    MM    MM  MM 1017.8  10.7  13.1    MM   MM -1.2    MM
2019 11 25 10 54 290  0.5  1.0    MM    MM    MM  MM 1017.9    MM  13.1    MM   MM   MM    MM
2019 11 25 10 48 220  0.5  2.1    MM    MM    MM  MM 1017.8    MM  13.1    MM   MM   MM    MM
2019 11 25 10 42 230  1.5  2.6    MM    MM    MM  MM 1017.7    MM  13.1    MM   MM   MM    MM
2019 11 25 10 36 220  1.5  3.1    MM    MM    MM  MM 1017.8  10.8  13.1    MM   MM   MM    MM
2019 11 25 10 30 240  1.5  2.6    MM    MM    MM  MM 1017.9  10.8  13.1    MM   MM   MM    MM
2019 11 25 10 24 240  1.5  3.1    MM    MM    MM  MM 1018.3  10.9  13.1    MM   MM   MM    MM
2019 11 25 10 18 220  2.1  3.6    MM    MM    MM  MM 1018.4  10.7  13.1    MM   MM   MM    MM
2019 11 25 10 12 200  1.5  2.6    MM    MM    MM  MM 1018.5  10.8  13.1    MM   MM   MM    MM
2019 11 25 10 06 250  1.5  2.6    MM    MM    MM  MM 1018.7  10.8  13.1    MM   MM   MM    MM
2019 11 25 10 00 270  1.5  2.1    MM    MM    MM  MM 1018.5  10.8  13.1    MM   MM -0.4    MM
2019 11 25 09 54 250  1.0  2.1    MM    MM    MM  MM 1018.3  10.8  13.1    MM   MM   MM    MM
2019 11 25 09 48 270  1.0  1.5    MM    MM    MM  MM 1018.2  10.8  13.1    MM   MM   MM    MM
2019 11 25 09 42 230  1.0  1.5    MM    MM    MM  MM 1018.1  10.7  13.1    MM   MM   MM    MM
2019 11 25 09 36 250  1.0  2.1    MM    MM    MM  MM 1018.1  10.8  13.1    MM   MM   MM    MM
2019 11 25 09 30 300  1.0  1.5    MM    MM    MM  MM 1018.1  10.7  13.1    MM   MM   MM    MM
2019 11 25 09 24 190  0.5  1.5    MM    MM    MM  MM 1017.9  10.5  13.1    MM   MM   MM    MM
2019 11 25 09 18 240  1.0  1.5    MM    MM    MM  MM 1017.9  10.9  13.1    MM   MM   MM    MM
2019 11 25 09 12 280  1.5  2.6    MM    MM    MM  MM 1018.1  11.0  13.2    MM   MM   MM    MM
2019 11 25 09 06 290  1.0  2.6    MM    MM    MM  MM 1018.3  11.0  13.2    MM   MM   MM    MM
2019 11 25 09 00 260  1.5  2.6    MM    MM    MM  MM 1018.4  11.0  13.1    MM   MM -0.9    MM
2019 11 25 08 54 280  1.5  2.6    MM    MM    MM  MM 1018.5  11.1  13.1    MM   MM   MM    MM
2019 11 25 08 48 230  1.0  3.6    MM    MM    MM  MM 1018.5  11.1  13.2    MM   MM   MM    MM
2019 11 25 08 42 260  1.5  3.1    MM    MM    MM  MM 1018.7  11.2  13.2    MM   MM   MM    MM
2019 11 25 08 36 280  1.5  2.6    MM    MM    MM  MM 1018.8  11.2  13.2    MM   MM   MM    MM
2019 11 25 08 30 270  1.5  2.6    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 11 25 08 24 280  1.5  2.1    MM    MM    MM  MM 1018.9  11.3  13.2    MM   MM   MM    MM
2019 11 25 08 18 270  1.5  2.6    MM    MM    MM  MM 1018.9  11.2  13.2    MM   MM   MM    MM
2019 11 25 08 12 260  1.0  2.6    MM    MM    MM  MM 1018.9  11.2  13.2    MM   MM   MM    MM
2019 11 25 08 06 270  1.5  3.6    MM    MM    MM  MM 1018.9  11.2  13.2    MM   MM   MM    MM
2019 11 25 08 00 300  2.1  2.6    MM    MM    MM  MM 1019.0  11.3  13.2    MM   MM -0.3    MM
